Site name,Country Name,Description,Coordinates,Region,Inscription date,Criteria
Churches of Moldavia,Romania,"These eight churches of northern Moldavia, built from the late 15th century to the late 16th century, their external walls covered in fresco paintings, are masterpieces inspired by Byzantine art. They are authentic and particularly well preserved. Far from being mere wall decorations, the paintings form a systematic covering on all the facades and represent complete cycles of religious themes.Their exceptional composition, the elegance of the characters, and the harmony of the colors blend perfectly with the surrounding countryside. The interior and exterior walls of the Church of the Suceviţa Monastery are entirely decorated with mural paintings of the 16th century, and this church is the only one to show a representation of the ladder of St John Climacus.",N47 46 42 E25 42 46,N/A,1993,(i)(iv)
Monastery of Horezu,Romania,"Founded in 1690 by Prince Constantine Brancovan, the monastery of Horezu, in Walachia, is a masterpiece of the 'Brancovan' style. It is known for its architectural purity and balance, the richness of its sculptural detail, the treatment of its religious compositions, its votive portraits and its painted decorative works. The school of mural and icon painting established at the monastery in the 18th century was famous throughout the Balkan region.",N45 10 60 E24 1 0,"Vâlcea County, Region of Wallachia",1993,(ii)
Villages with Fortified Churches in Transylvania,Romania,"These Transylvanian villages with their fortified churches provide a vivid picture of the cultural landscape of southern Transylvania. The seven villages inscribed, founded by the Transylvanian Saxons, are characterized by a specific land-use system, settlement pattern and organization of the family farmstead that have been preserved since the late Middle Ages. They are dominated by their fortified churches, which illustrate building styles from the 13th to the 16th century.",N46 8 9 E24 46 23,"Counties of Alba, Brasov, Harghita, Mureş, Sibiu, Region of Transylvania",1993,(iv)
Dacian Fortresses of the Orastie Mountains,Romania,"Built in the 1st centuries B.C. and A.D. under Dacian rule, these fortresses show an unusual fusion of military and religious architectural techniques and concepts from the classical world and the late European Iron Age. The six defensive works, the nucleus of the Dacian Kingdom, were conquered by the Romans at the beginning of the 2nd century A.D.; their extensive and well-preserved remains stand in spectacular natural surroundings and give a dramatic picture of a vigorous and innovative civilization.",N45 37 23 E23 18 43,"Counties of Alba and Hunedoara, Region of Transylvania",1999,(ii)(iii)(iv)
Historic Centre of Sighişoara,Romania,"Founded by German craftsmen and merchants known as the Saxons of Transylvania, Sighişoara is a fine example of a small, fortified medieval town which played an important strategic and commercial role on the fringes of central Europe for several centuries.",N46 13 4 E24 47 32,"Mureş County, Region of Transylvania",1999,(iii)(v)
Wooden Churches of Maramureş,Romania,"These eight churches are outstanding examples of a range of architectural solutions from different periods and areas. They show the variety of designs and craftsmanship adopted in these narrow, high, timber constructions with their characteristic tall, slim clock towers at the western end of the building, either single- or double-roofed and covered by shingles. As such, they are a particular vernacular expression of the cultural landscape of this mountainous area of northern Romania.",N47 49 15 E24 3 21,"Districts of  Bârsana,  Budesti, Desesti, Ieud, Sisesti, Poienile Izei, Târgu-Lapus; Maramureş County, Region of Transylvania",1999,(iv)
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,"Albania, Austria, Belgium, Bulgaria, Croatia, Germany, Italy, Romania, Slovakia, Slovenia, Spain, Ukraine","This transboundary property stretches over 12 countries. Since the end of the last Ice Age, European Beech spread from a few isolated refuge areas in the Alps, Carpathians, Dinarides, Mediterranean and Pyrenees over a short period of a few thousand years in a process that is still ongoing. The successful expansion across a whole continent is related to the tree’s adaptability and tolerance of different climatic, geographical and physical conditions. ",N49 0 35 E22 20 20,N/A,2007,(ix)
Historic Centre of Saint Petersburg and Related Groups of Monuments,Russian Federation,"The 'Venice of the North', with its numerous canals and more than 400 bridges, is the result of a vast urban project begun in 1703 under Peter the Great. Later known as Leningrad (in the former USSR), the city is closely associated with the October Revolution. Its architectural heritage reconciles the very different Baroque and pure neoclassical styles, as can be seen in the Admiralty, the Winter Palace, the Marble Palace and the Hermitage.",N59 57 0 E30 19 5.988,N/A,1990,(i)(ii)(iv)(vi)
Kizhi Pogost,Russian Federation,"The pogost of Kizhi (i.e. the Kizhi enclosure) is located on one of the many islands in Lake Onega, in Karelia. Two 18th-century wooden churches, and an octagonal clock tower, also in wood and built in 1862, can be seen there. These unusual constructions, in which carpenters created a bold visionary architecture, perpetuate an ancient model of parish space and are in harmony with the surrounding landscape.",N62 4 17 E35 13 39,"Karelian Autonomous S.S.R., Medvezhjegorskij Region",1990,(i)(iv)(v)
"Kremlin and Red Square, Moscow",Russian Federation,"Inextricably linked to all the most important historical and political events in Russia since the 13th century, the Kremlin (built between the 14th and 17th centuries by outstanding Russian and foreign architects) was the residence of the Great Prince and also a religious centre. At the foot of its ramparts, on Red Square, St Basil's Basilica is one of the most beautiful Russian Orthodox monuments.",N55 44 44.988 E37 37 46.992,City of Moscow,1990,(i)(ii)(iv)(vi)
Cultural and Historic Ensemble of the Solovetsky Islands,Russian Federation,"The Solovetsky archipelago comprises six islands in the western part of the White Sea, covering about 300 km2 . They have been inhabited since the 5th century B.C. and important traces of a human presence from as far back as the 5th millennium B.C. can be found there. The archipelago has been the site of fervent monastic activity since the 15th century, and there are several churches dating from the 16th to the 19th century.",N65 4 60 E35 40 0,"Arkhangelsky region, Solovetsky district.",1992,(iv)
Historic Monuments of Novgorod and Surroundings,Russian Federation,"Situated on the ancient trade route between Central Asia and northern Europe, Novgorod was Russia's first capital in the 9th century. Surrounded by churches and monasteries, it was a centre for Orthodox spirituality as well as Russian architecture. Its medieval monuments and the 14th-century frescoes of Theophanes the Greek (Andrei Rublev's teacher) illustrate the development of its remarkable architecture and cultural creativity.",N58 31 59.988 E31 16 59.988,N/A,1992,(ii)(iv)(vi)
White Monuments of Vladimir and Suzdal,Russian Federation,"These two artistic centres in central Russia hold an important place in the country's architectural history. There are a number of magnificent 12th- and 13th-century public and religious buildings, above all the masterpieces of the Collegiate Church of St Demetrios and the Cathedral of the Assumption of the Virgin.",N56 8 60 E40 25 0,Vladimir region,1992,(i)(ii)(iv)
Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,Russian Federation,"This is a fine example of a working Orthodox monastery, with military features that are typical of the 15th to the 18th century, the period during which it developed. The main church of the Lavra, the Cathedral of the Assumption (echoing the Kremlin Cathedral of the same name), contains the tomb of Boris Godunov. Among the treasures of the Lavra is the famous icon, The Trinity , by Andrei Rublev.",N56 18 37.26 E38 7 52.32,"Moscow region, town Sergiev-Posad (ex Zagorsk)",1993,(ii)(iv)
